id_filial,nome_filial,matriz,razao_social,fone,cnpj,status,cidade,estado,filial_franquadora,nome_estado,long,lat,alt,geometry
387475,TOLEDO,Muniz Auto Center - C.D,M. C. COMERCIO DE PNEUMATICOS LTDA,(45)3065-0442,46.071.016/0001-96,Ativo,toledo,pr,0,parana,-53.7414114911568,-24.732077,564.64577,POINT (-53.74141149115677 -24.732076999999997)
28239,TREINAMENTOS,Muniz Auto Center - C.D,F MUNIZ DA SILVA & CIA LTDA,(44)9832-0251,31.487.871/0001-05,Ativo,foz do iguacu,pr,0,parana,-54.5871024886047,-25.5424932795293,161.684267,POINT (-54.587102488604636 -25.542493279529246)
164997,TRÊS LAGOAS,Muniz Auto Center - C.D,AM AUTOCENTER LTDA,(67)99289-1982,40.165.826/0001-25,Ativo,tres lagoas,ms,0,mato grosso do sul,-51.7100006287942,-20.7886791613914,329.586011,POINT (-51.71000062879422 -20.7886791613914)
402796,TUBARÃO,Muniz Auto Center - C.D,TUBARAO COMERCIO DE PNEUMATICOS LTDA,(48)3660-0290,47.778.810/0001-37,Ativo,tubarao,sc,0,santa catarina,-49.0052680770245,-28.4800339478501,15.637309,POINT (-49.005268077024446 -28.4800339478501)
475348,UBERABA,Muniz Auto Center - C.D,M WATANABE COMERCIO DE PNEUMATICOS LTDA,(44)00000-0000,48697584000122,Ativo,uberaba,mg,0,minas gerais,-47.9836248955742,-19.7135346071021,777.457503,POINT (-47.98362489557424 -19.713534607102048)
705750,UBERLÂNDIA MG,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS BFC LTDA,(44)0000-00000,50603206000184,Ativo,uberlandia,mg,0,minas gerais,-48.2779501847345,-18.9189986093056,866.782274,POINT (-48.27795018473446 -18.9189986093056)
46924,UMUARAMA,Muniz Auto Center - C.D,C F DE PAULA DA SILVA,(44)3038-2300,28.696.362/0001-88,Ativo,umuarama,pr,0,parana,-53.3084598047956,-23.76395,427.048453,POINT (-53.308459804795596 -23.76395)
962002,VALINHOS,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS VALINHOS LTDA,(11)00000-0000,52416767000108,Ativo,valinhos,sp,0,sao paulo,-46.9966300275552,-22.971244,690.120803,POINT (-46.9966300275552 -22.971244)
475334,VITORIA,Muniz Auto Center - C.D,SHARDSON COMERCIO DE PNEUMATICOS LTDA,(27)00000-0000,48.572.497/0001-49,Ativo,vitoria,es,0,espirito santo,-40.3222087267266,-20.3201537928533,0.0,POINT (-40.322208726726615 -20.3201537928533)
580196,VOTUPORANGA,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS JSF LTDA,(17)3422-1244,495.377.130-00188,Ativo,votuporanga,sp,0,sao paulo,-49.9746720152067,-20.41947,518.334591,POINT (-49.97467201520665 -20.41947)
